from,to,relationship,weight
dpbr,funk,4,3
sash,funk,6,1
gifh,funk,6,1
shlo,clwn,6,1
shlo,idio,6,1
shlo,hngw,6,1
shlo,sttm,6,1
shlo,bvms,6,1
shlo,krtz,6,1
clwn,shlo,6,1
clwn,sttm,6,1
clwn,bvms,6,1
clwn,krtz,6,1
krtz,bvms,6,1
krtz,shlo,6,1
krtz,clwn,6,1
krtz,hngw,6,1
idio,hngw,6,1
idio,shlo,6,1
idio,sttm,6,1
idio,bvms,6,1
hngw,shlo,6,1
hngw,idio,6,1
hngw,sttm,6,1
hngw,bvms,6,1
sttm,shlo,6,1
sttm,hngw,6,1
sttm,clwn,6,1
sttm,idio,6,1
bvms,krtz,6,1
bvms,shlo,6,1
bvms,idio,6,1
bvms,hngw,6,1
bvms,clwn,6,1
funk,strg,1,1
funk,yk,5,1
funk,ofue,1,1
funk,rp,1,1
funk,lww,5,1
funk,dfr,1,1
funk,trd,1,1
funk,cri,1,1
funk,fmr,1,1
funk,mrw,1,1
funk,ddo,1,1
funk,hyp,1,1
funk,atl,1,1
funk,sts,1,1
funk,chm,1,1
funk,psy,1,1
funk,wkw,1,1
funk,dbi,1,1
funk,dsdn,5,1
funk,phil,1,1
funk,wmms,1,1
funk,cldm,1,1
funk,wwwz,1,1
funk,pshd,1,1
funk,eyjm,1,1
funk,hecr,1,1
funk,dttl,1,1
funk,eifu,1,1
funk,dund,1,1
funk,cisb,1,1
funk,aklo,1,1
funk,hhhe,1,1
funk,ismp,1,1
funk,juns,1,1
funk,zwfr,5,1
funk,ulvi,5,1
funk,smta,5,1
funk,simp,5,1
funk,rayk,5,1
funk,mail,5,1
funk,klie,5,1
funk,game,5,1
funk,kurz,5,1
funk,brba,5,1
strg,renzo,4,2
yk,funk,5,1
ofue,funk,5,1
rp,funk,5,1
lww,funk,5,1
lww,rike,4,2
lww,schl,4,2
alke,lww,4,4
alke,schl,3,2
alke,rike,3,2
alke,strg,4,4
alke,renzo,3,4
alke,dpbr,3,2
alke,funk,4,2
gnu,klng,2,2
gifh,nero,2,3
gifh,lww,4,2
gifh,sash,2,2
sash,lww,4,3
sash,nero,3,2
sash,dicr,3,2
sash,schl,3,2
sash,strg,4,2
sash,renzo,3,2
sash,haz,3,2
renzo,strg,4,3
renzo,prinz,3,2
renzo,klng,3,2
prinz,renzo,2,3
prinz,strg,4,3
drfr,renzo,2,3
dpbr,strg,4,2
dpbr,lww,4,2
pony,strg,4,3
pony,renzo,3,2
pony,funk,4,2
pony,rp,4,2
pony,aklo,4,2
pony,mrw,4,2
pony,kurz,4,2
pony,yk,4,2
pony,dttl,4,2
kutv,yk,4,2
kutv,lww,4,4
kutv,strg,4,2
kutv,renzo,3,2
nero,alke,3,4
nero,lww,4,4
nero,strg,4,3
nero,bid,3,2
nero,prinz,3,4
nero,sash,3,4
nero,schl,3,4
nero,stai,3,4
nero,renzo,3,2
imp,lww,4,2
imp,nero,3,2
klng,lww,4,2
klng,schl,3,2
klng,dicr,3,2
klng,rike,3,2
tj,nero,2,4
tj,alke,2,2
tj,renzo,6,1
tj,strg,4,2
schl,alke,2,3
schl,sash,2,2
rike,kutv,2,3
dicr,sash,2,2
doc,kutv,2,2
dsdn,funk,5,2
brba,funk,5,1
kurz,funk,5,1
game,funk,5,1
klie,funk,5,1
mail,funk,5,1
rayk,funk,5,1
simp,funk,5,1
smta,funk,5,1
ulvi,funk,5,1
zwfr,funk,5,1
aqua,yk,4,2
yk,aqua,6,1
aqua,imp,3,2
yk,aqua,6,1
haz,nero,2,2
haz,kyz,2,2
haz,funk,6,1
funk,haz,6,1
haz,sash,3,2
bid,strg,4,2
stai,funk,4,2
stai,strg,4,3
stai,renzo,2,3
stai,sash,2,2
stai,lww,4,2
stai,nero,2,4
stai,alke,2,2
kyz,lww,4,2
clwn,yk,4,2
hngw,yk,4,2
funk,sash,6,1
funk,gifh,6,1
renzo,tj,6,1
kutv,dicr,6,1
kutv,alke,2,3
kutv,nero,2,3
kutv,tj,2,4
kutv,unbu,4,3
imp,aqua,3,3
imp,rayk,4,1
imp,kutv,2,4
imp,yk,4,3
imp,strg,4,4
imp,unbu,4,4
imp,aklo,4,4
imp,rp,4,4
imp,lww,4,4
imp,dpbr,2,3
imp,prinz,2,3
kutv,imp,2,2
shlo,strg,4,1
shlo,rayk,4,1
hngw,strg,4,1
hngw,aklo,4,1
hngw,yk,4,1
shlo,juns,4,1
clwn,strg,4,1
clwn,aklo,4,1
clwn,mail,4,2
hngw,mail,4,2
shlo,mail,4,2
idio,mail,4,2
kyz,alke,6,1
alke,kyz,6,1
kyz,kutv,2,2
kyz,gifh,2,3
kyz,sash,2,3
kyz,renzo,2,3
kyz,dpbr,2,3
kutv,smta,4,1
imp,ulvi,4,2
gifh,kutv,2,3
kutv,gifh,6,1
mrw,hngw,6,1
kyz,gnu,2,3
gnu,renzo,6,1
renzo,gnu,6,1
gnu,lww,4,3
gnu,dpbr,2,3
gnu,sash,2,3
gnu,kyz,2,3
gnu,gifh,6,1
gnu,alke,6,1
alke,gnu,2,3
gifh,yk,2,2
gifh,klng,2,2
gifh,strg,4,3
gifh,renzo,2,3
gifh,dpbr,2,3
gifh,kyz,2,2
prinz,mail,2,2
prinz,gnu,2,2
kutv,kyz,2,2
imp,fmr,2,2
imp,gnu,2,3
imp,stai,2,3
imp,renzo,2,4
imp,gifh,2,4
imp,kyz,2,3
kutv,imp,2,2
unbu,funk,6,1